Date,Open,High,Low,Close,Volume
10/11/2013,106.16,106.23,105.41,105.46,6501164
10/14/2013,105.39,105.64,104.33,104.61,4205714
10/15/2013,105.15,105.3,104.53,104.54,8291477
10/16/2013,104.47,105.86,104.27,105.85,14461015
10/17/2013,106.52,107.12,106.29,106.81,11306167
10/18/2013,107.11,107.48,106.98,107.04,9487800
10/21/2013,106.91,106.92,106.46,106.7,6162621
10/22/2013,107.6,108.12,107.56,107.89,9708542
10/23/2013,108.07,108.73,108.04,108.31,9165579
10/24/2013,108.61,108.67,107.87,107.89,7631370
10/25/2013,108.13,108.45,108.08,108.29,4429545
10/28/2013,108.01,108.38,107.91,107.92,6469344
10/29/2013,107.62,108.07,107.51,108.06,5270646
10/30/2013,107.93,108.21,107.21,107.41,10200010
10/31/2013,107.91,108.01,107.14,107.64,11452117
11/1/2013,106.97,107,106.14,106.19,11349769
11/4/2013,106.47,106.67,106.22,106.29,4733187
11/5/2013,105.79,105.83,104.99,105.02,8754722
11/6/2013,104.94,105.14,104.69,105.07,5643041
11/7/2013,105.05,106.05,104.97,105.96,7893771
11/8/2013,103.97,104.11,103.39,103.41,16889902
11/11/2013,103.53,103.58,102.96,103.02,4927178
11/12/2013,103.21,103.59,103.18,103.5,4840369
11/13/2013,103.87,104.04,103.74,103.88,5783944
11/14/2013,104.31,105.12,104.15,104.52,8895490
11/15/2013,104.66,104.74,104.31,104.73,6344845
11/18/2013,104.65,105.41,104.65,105.36,5451405
11/19/2013,104.95,105.14,104.41,104.56,7251137
11/20/2013,104.42,104.84,102.65,102.78,14191987
11/21/2013,102.51,103.19,102.16,102.95,8903032
11/22/2013,103.49,104.13,103.48,103.91,7950686
11/25/2013,103.84,104.42,103.84,104.21,3756285
11/26/2013,104.49,104.93,104.48,104.6,6659203
11/27/2013,104.68,104.7,103.96,104.42,6063360
11/29/2013,104.08,104.6,103.95,104.45,5084399
12/2/2013,103.8,103.91,103.22,103.33,7527817
12/3/2013,103.7,103.96,103.46,103.71,5076896
12/4/2013,102.75,103.05,102.38,102.72,8502926
12/5/2013,102.48,102.85,102.22,102.43,7446004
12/6/2013,102.56,102.99,102.36,102.92,7351950
12/9/2013,102.9,103.23,102.83,103.16,5679779
12/10/2013,103.84,103.95,103.45,103.9,7040362
12/11/2013,103.55,103.77,103.02,103.1,8190914
12/12/2013,103.03,103.16,102.63,102.71,6208704
12/13/2013,103.14,103.3,102.79,103.21,6471352
12/16/2013,103.58,103.69,102.73,102.83,6376381
12/17/2013,102.61,103.4,102.59,103.29,6015838
12/18/2013,102.83,103.72,102.46,102.77,12974216
12/19/2013,102.86,103.01,102.45,102.67,6708383
12/20/2013,103.72,104.29,103.3,104.25,12425975
12/23/2013,104.05,104.41,103.66,103.66,6378597
12/24/2013,103.23,103.35,102.8,102.83,4897009
12/26/2013,102.35,102.36,102.01,102.1,4645323
12/27/2013,102.07,102.31,101.69,101.81,4755262
12/30/2013,102.15,102.58,102.08,102.51,4491711
12/31/2013,102.29,102.55,101.17,101.86,7219195
1/2/2014,101.72,102.39,101.69,102.17,8580808
1/3/2014,101.81,102.45,101.76,102.17,4083831
1/6/2014,102.38,103,102.37,102.6,7796228
1/7/2014,102.82,102.99,102.56,102.86,4428082
1/8/2014,102.45,102.69,102.1,102.58,8512987
1/9/2014,102.97,103.21,102.51,103.18,6991080
1/10/2014,103.77,104.54,103.69,104.41,13197803
1/13/2014,104.51,105.14,104.47,104.93,9671509
